"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_HISP","gap_completion_white_hispanic"
"1899","Hamline University",2,15603,7489,0.7255,0.5625,0.224672639558925
"1907","The Art Institutes International-Minnesota",3,13978,5410,0.4717,0.75,-0.58999364002544
"1909","Macalester College",2,22572,19210,0.9104,0.9259,-0.0170254833040421
"1911","Minnesota State University-Mankato",1,5683,6040,0.5163,0.4576,0.113693588998644
"1915","Argosy University-Twin Cities",3,14407,6764,0.3968,0.5,-0.26008064516129
"1917","Metropolitan State University",1,4823,4518,0.45,0.25,0.444444444444444
"1918","University of Minnesota-Twin Cities",1,11369,13558,0.819,0.6992,0.146275946275946
"1919","University of Minnesota-Crookston",1,6048,6197,0.5365,0.25,0.534016775396086
"1921","Minneapolis College of Art and Design",2,20327,12923,0.6173,1,-0.619957881095092
"1925","Crossroads College",2,9753,5655,0.3077,1,-2.2499187520312
"1926","University of Minnesota-Duluth",1,8339,7011,0.6038,0.4286,0.290162305399139
"1927","University of Minnesota-Morris",1,5263,8474,0.7028,1,-0.422879908935686
"1928","Minnesota School of Business-Richfield",3,20537,5815,0.3333,1,-2.000300030003
"1930","Minnesota State University Moorhead",1,5398,7267,0.4376,0.2963,0.322897623400366
"1933","Sanford-Brown College-Mendota Heights",3,22676,9896,0.6563,0.3333,0.492152978820661
"1935","North Central University",2,13873,6438,0.5342,0.1429,0.732497192062898
"1937","University of Northwestern-St Paul",2,14599,7434,0.6738,0.6667,0.0105372514099139
"1944","College of Saint Benedict",2,19671,11311,0.8271,0.5,0.395478176762181
"1947","Saint Cloud State University",1,5055,7329,0.4596,0.2687,0.415361183637946
"1948","Saint Johns University",2,19386,13539,0.8159,0.5833,0.285083956367202
"1949","Saint Mary's University of Minnesota",2,10752,5392,0.6921,0.4167,0.397919375812744
"1950","St Olaf College",2,22964,16837,0.8997,0.6111,0.320773591197066
"1951","Crown College",2,11759,3426,0.6,0.4,0.333333333333333
"1952","The College of Saint Scholastica",2,13989,8096,0.6387,0.5882,0.0790668545483014
"1953","University of St Thomas",2,19304,13637,0.7233,0.6154,0.14917738144615
"1955","St Catherine University",2,16543,10127,0.6449,0.4167,0.353853310590789
"1958","Southwest Minnesota State University",1,3858,5745,0.504,0.2,0.603174603174603
"1962","Dunwoody College of Technology",2,17817,11493,0.4903,0.3333,0.320212115031613
"1965","Winona State University",1,5690,6581,0.5774,0.5769,0.000865950813993862
"1968","Alcorn State University",1,4263,6877,0.4286,0.3333,0.222351843210453
"1969","Belhaven University",2,8508,3859,0.6099,0.5,0.180193474340056
"1970","Blue Mountain College",2,5542,6886,0.4857,0.5,-0.0294420424130121
"1977","Delta State University",1,4487,7064,0.3575,0.5,-0.398601398601399
"1985","Jackson State University",1,5499,7627,0.4,0.3333,0.16675
"1988","Millsaps College",2,12365,14341,0.6809,1,-0.46864444118079
"1990","University of Mississippi",1,9498,14232,0.6414,0.5,0.220455254131587
"1991","Mississippi University for Women",1,4627,6554,0.4876,0.25,0.487284659557014
"1992","Mississippi Valley State University",1,2497,8966,0.3333,0.5,-0.5001500150015
"1993","Mississippi College",2,11473,7825,0.5953,0.3333,0.440114228120276
"1996","Mississippi State University",1,7092,7318,0.6356,0.5833,0.0822844556324733
"2003","University of Southern Mississippi",1,6285,8219,0.5612,0.55,0.0199572344975053
"2010","Avila University",2,12703,6966,0.4679,0.7778,-0.662321008762556
"2012","Baptist Bible College",2,6589,4460,0.3947,0.5,-0.266784899923993
"2018","Central Methodist University-College of Liberal Arts and Sciences",2,17159,10194,0.5276,0.375,0.28923426838514
"2019","University of Central Missouri",1,6960,7862,0.5525,0.5862,-0.0609954751131223
"2027","Cottey College",2,8256,20532,0.6412,1,-0.559575795383656
"2030","Culver-Stockton College",2,9545,6034,0.445,0.25,0.438202247191011
"2036","Evangel University",2,11355,6895,0.5179,0.5,0.0345626568835683
"2037","Fontbonne University",2,15390,8353,0.5615,0.6,-0.0685663401602849
"2041","Hannibal-LaGrange University",2,9457,4807,0.3817,0.25,0.345035368090123
"2049","Kansas City Art Institute",2,18976,10567,0.54,0.5,0.0740740740740741
"2055","Lindenwood University",2,12137,4135,0.5616,0.5938,-0.0573361823361824
"2060","Maryville University of Saint Louis",2,12443,6558,0.6855,0.5,0.270605397520058
"2066","Westwood College-O'Hare Airport",3,16589,3820,0.3226,0.3846,-0.192188468691879
"2067","Missouri Baptist University",2,9724,4304,0.4805,0.2727,0.432466181061394
"2069","Missouri College",3,12538,5263,0.8364,0.75,0.103299856527977
"2071","Missouri Southern State University",1,3288,6657,0.3768,0.2857,0.241772823779193
"2073","Missouri Valley College",2,6386,3708,0.264,0.4074,-0.543181818181818
"2074","Missouri Western State University",1,5591,7666,0.389,0.375,0.0359897172236504
"2075","University of Missouri-Columbia",1,10477,11448,0.7097,0.625,0.119346202620826
"2076","University of Missouri-Kansas City",1,11058,15441,0.5789,0.3077,0.468474693384004
"2077","Missouri University of Science and Technology",1,11141,13337,0.6422,0.5,0.22142634693242
"2078","University of Missouri-St Louis",1,8628,9752,0.4624,0.6667,-0.441825259515571
"2084","Truman State University",1,5083,9417,0.7151,0.5641,0.211159278422598
"2085","Northwest Missouri State University",1,6306,7972,0.5175,0.5238,-0.0121739130434784
"2086","Ozark Christian College",2,8232,5411,0.4715,0.3333,0.293107104984093
"2087","College of the Ozarks",2,384,9106,0.6423,0.25,0.610773781721937
"2088","Park University",2,8278,3975,0.4308,0.75,-0.740947075208914
"2091","Ranken Technical College",2,10542,3330,0.8585,1,-0.1648223645894
"2093","Rockhurst University",2,14625,7034,0.7074,0.8462,-0.196211478654227
"2095","Everest College-Springfield",3,10842,6112,0.4444,0.5,-0.125112511251125
"2096","Saint Louis University",2,19691,18230,0.7566,0.7143,0.0559080095162569
"2098","Sanford-Brown College-Fenton",3,18504,18233,0.5281,0.75,-0.420185570914599
"2102","St Louis College of Pharmacy",2,24290,13971,0.6647,0.3333,0.498570783812246
"2105","Southwest Baptist University",2,8983,5389,0.532,0.1429,0.731390977443609
"2110","Stephens College",2,12161,9552,0.4783,0.4286,0.103909680117081
"2111","Southeast Missouri State University",1,7457,6658,0.5249,0.44,0.161745094303677
"2112","Missouri State University-Springfield",1,6458,6932,0.5684,0.4318,0.240323715693174
"2117","Washington University in St Louis",2,24889,105933,0.9535,0.9242,0.0307288935500786
"2118","Webster University",2,15482,6722,0.6483,0.6667,-0.0283819219497146
"2120","Westminster College",2,8592,6678,0.674,0.4286,0.364094955489614
"2121","William Jewell College",2,9798,9847,0.6026,0.8333,-0.382841022236973
"2122","William Woods University",2,10315,6356,0.5633,0.5,0.112373513225635
"2128","Carroll College",2,15060,7695,0.6478,0.4444,0.313985798085829
"2131","Montana State University-Billings",1,5594,6682,0.2652,0.129,0.513574660633484
"2136","University of Great Falls",2,9624,3829,0.4186,0.4167,0.00453893932154805
"2141","Montana Tech of the University of Montana",1,6764,9707,0.4319,0.6667,-0.543644362120861
"2142","Montana State University",1,9467,7321,0.5089,0.3333,0.345057968166634
"2143","The University of Montana",1,7723,8367,0.4917,0.3824,0.222290014236323
"2145","Rocky Mountain College",2,11764,7204,0.4198,0.25,0.404478323010958
"2146","Salish Kootenai College",2,977,12354,0.6429,0.5,0.222274070617514
"2147","The University of Montana-Western",1,5415,7023,0.474,0.3333,0.296835443037975
"2149","Bellevue University",2,10366,2197,0.3571,0.3077,0.138336600392047
"2153","Chadron State College",1,3561,5187,0.3804,0.2857,0.248948475289169
"2155","Concordia University-Nebraska",2,10123,5567,0.6939,0.3846,0.445741461305664
"2156","Creighton University",2,22571,13517,0.7989,0.6364,0.203404681436976
"2157","Doane University-Arts & Sciences",2,12179,10364,0.6049,0.7,-0.157216068771698
"2158","Grace University",2,7503,10440,0.5741,0.75,-0.306392614527086
"2159","Hastings College",2,9191,8140,0.5957,0.5,0.160651334564378
"2162","University of Nebraska at Kearney",1,4655,7658,0.5882,0.5574,0.0523631417885072
"2163","Kaplan University-Lincoln Campus",3,7340,1904,0.5455,0.75,-0.374885426214482
"2167","Midland University",2,12341,4805,0.5347,0.4167,0.220684495979054
"2169","University of Nebraska at Omaha",1,6140,8428,0.4651,0.4096,0.119329176521178
"2170","Kaplan University-Omaha Campus",3,7833,2101,0.4194,0.5,-0.192179303767287
"2173","Nebraska Wesleyan University",2,12272,7123,0.6989,0.6,0.141508084132208
"2174","University of Nebraska-Lincoln",1,8944,10896,0.6781,0.5691,0.160743253207491
"2176","Peru State College",1,3357,4834,0.3876,0.1667,0.569917440660475
"2177","College of Saint Mary",2,14557,7310,0.5085,0.5556,-0.0926253687315635
"2179","Union College",2,15410,10177,0.496,0.3846,0.224596774193548
"2182","Wayne State College",1,3847,6294,0.5264,0.3077,0.415463525835866
"2185","York College",2,10520,5525,0.3556,0.1111,0.687570303712036
"2188","College of Southern Nevada",1,2530,5856,0.0783,0.0724,0.0753512132822476
"2189","The Art Institute of Las Vegas",3,13596,4593,0.3256,0.2143,0.341830466830467
"2192","University of Nevada-Las Vegas",1,6961,8805,0.4036,0.3525,0.126610505450942
"2193","University of Nevada-Reno",1,7750,15140,0.5684,0.4688,0.175228712174525
"2194","Great Basin College",1,2671,6590,0.211,0.4054,-0.921327014218009
"2196","Sierra Nevada College",2,14162,6701,0.5067,0.6364,-0.255970001973554
"2198","Western Nevada College",1,1530,4336,0.2186,0.2903,-0.327996340347667
"2199","Colby-Sawyer College",2,10446,8181,0.4954,0.25,0.495357287040775
"2201","Daniel Webster College",3,15395,3457,0.5591,0.25,0.552852799141477
"2202","Dartmouth College",2,29358,25102,0.9726,0.92,0.0540818424840633
"2207","Mount Washington College",3,14378,6065,0.2761,0.2237,0.189786309308222
"2209","Northeast Catholic College",2,11993,7560,0.6667,1,-0.499925003749813
"2211","New England College",2,9461,4166,0.3756,0.2308,0.385516506922258
"2213","Southern New Hampshire University",2,10367,2464,0.5269,0.4,0.240842664642247
"2215","University of New Hampshire-Main Campus",1,12491,10676,0.7829,0.7067,0.0973304381147018
"2216","Keene State College",1,11433,8848,0.6286,0.6429,-0.0227489659560929
"2217","University of New Hampshire at Manchester",1,10849,8302,0.4943,0.4286,0.132915233663767
"2218","Plymouth State University",1,11024,8943,0.5782,0.6364,-0.100657212037357
"2227","Rivier University",2,12987,6657,0.5311,0.5455,-0.0271135379401242
"2228","Saint Anselm College",2,16856,11966,0.7621,0.7,0.0814853693740979
"2236","Berkeley College-Woodland Park",3,16647,6396,0.3878,0.3085,0.204486848891181
"2238","Bloomfield College",2,18013,8240,0.3913,0.3038,0.223613595706619
"2241","Caldwell University",2,16560,6637,0.6788,0.5,0.263406010606953
"2243","Centenary College",2,15555,5579,0.6256,0.5789,0.074648337595908
"2254","Drew University",2,17541,12802,0.6419,0.6897,-0.074466427792491
"2259","Fairleigh Dickinson University-Metropolitan Campus",2,18071,7993,0.5902,0.3537,0.400711623178583
"2260","Felician University",2,18931,8792,0.5,0.1833,0.6334
"2261","Fairleigh Dickinson University-College at Florham",2,26923,11908,0.586,0.5238,0.106143344709897
"2263","Georgian Court University",2,18141,6982,0.5932,0.3462,0.416385704652731
"2264","Rowan University",1,11552,16320,0.6995,0.5614,0.197426733380986
"2271","New Jersey City University",1,8077,10075,0.3628,0.315,0.131753031973539
"2273","Kean University",1,8533,9932,0.5458,0.4735,0.132466104800293
"2279","Monmouth University",2,20580,8956,0.6805,0.6607,0.029096252755327
"2280","Montclair State University",1,9022,9110,0.6664,0.6159,0.0757803121248499
"2287","New Jersey Institute of Technology",1,10459,9177,0.6196,0.596,0.0380890897353132
"2294","Princeton University",2,13255,52224,0.9754,0.9426,0.0336272298544188
"2296","Ramapo College of New Jersey",1,9576,9581,0.7508,0.5761,0.232685135855088
"2298","Rider University",2,20981,13081,0.6678,0.6296,0.0572027553159627
"2300","Rutgers University-Camden",1,12573,14493,0.5891,0.2917,0.504837888304193
"2301","Rutgers University-New Brunswick",1,13386,18006,0.8244,0.7063,0.143255701115963
"2302","Rutgers University-Newark",1,12686,13707,0.6525,0.6164,0.0553256704980843
"2305","Saint Peter's University",2,16376,8356,0.6536,0.4755,0.272490820073439
"2307","Seton Hall University",2,22657,10660,0.7291,0.585,0.197640927170484
"2309","College of Saint Elizabeth",2,18832,11114,0.5435,0.359,0.339466421343146
"2311","Stevens Institute of Technology",2,27192,13732,0.8144,0.7925,0.0268909626719057
"2312","Stockton University",1,6882,8487,0.6755,0.6508,0.0365655070318282
"2316","The College of New Jersey",1,11918,11128,0.8859,0.8062,0.0899650073371712
"2319","William Paterson University of New Jersey",1,10018,10595,0.5467,0.5233,0.0428022681543808
"2326","Eastern New Mexico University-Main Campus",1,3385,6199,0.3354,0.1882,0.438878950506857
"2329","New Mexico Highlands University",1,4028,7548,0.16,0.1798,-0.12375
"2333","New Mexico Institute of Mining and Technology",1,5233,9260,0.486,0.4189,0.138065843621399
"2335","University of New Mexico-Main Campus",1,5411,11745,0.5172,0.4629,0.104988399071926
"2339","New Mexico State University-Main Campus",1,4051,9196,0.5025,0.4263,0.151641791044776
"2341","Northern New Mexico College",1,1363,8682,0.0833,0.1655,-0.986794717887155
"2344","Santa Fe University of Art and Design",3,10279,8718,0.2366,0.1739,0.265004226542688
"2345","University of the Southwest",2,10750,4865,0.2727,0.4706,-0.725705903923726
"2351","Western New Mexico University",1,3374,8111,0.2035,0.2147,-0.0550368550368551
"2352","Vaughn College of Aeronautics and Technology",2,15277,7591,0.4444,0.3258,0.266876687668767
"2353","Adelphi University",2,21769,12729,0.6986,0.6346,0.0916117950186086
"2356","Bryant & Stratton College-Albany",3,12564,2674,0.3889,0.5714,-0.469272306505528
"2357","Albany College of Pharmacy and Health Sciences",2,24725,12450,0.7536,0.8333,-0.105759023354565
"2360","Alfred University",2,8986,10968,0.5785,0.4286,0.259118409680207
"2366","American Musical and Dramatic Academy",2,18927,7368,0.735,0.6857,0.0670748299319728
"2372","Bard College",2,15516,23461,0.7582,0.5417,0.285544711158006
"2373","Barnard College",2,29924,21263,0.8939,0.8276,0.0741693701756349
"2375","Berkeley College-New York",3,18332,5189,0.2784,0.3239,-0.163433908045977
"2380","Boricua College",2,9753,3664,0.3333,0.5276,-0.582958295829583
"2382","Briarcliffe College",3,18087,5111,0.5132,0.4167,0.188035853468433
"2387","Bryant & Stratton College-Amherst",3,12838,2806,0.3226,0.3333,-0.0331680099194048
"2388","Bryant & Stratton College-Syracuse North",3,12658,2570,0.3409,1,-1.93341155764154
"2390","Bryant & Stratton College-Buffalo",3,13879,2273,0.3333,0.2222,0.333333333333333
"2393","Canisius College",2,15780,9078,0.7075,0.5455,0.228975265017668
"2397","Cazenovia College",2,10108,9216,0.5667,0.5556,0.0195870831127581
"2403","Clarkson University",2,14504,13300,0.7187,0.6786,0.0557951857520523
"2407","Colgate University",2,30401,22975,0.9313,0.8889,0.0455277568989584
"2408","Metropolitan College of New York",2,16545,5416,0.5,0.2727,0.4546
"2409","Columbia University in the City of New York",2,33371,80944,0.9581,0.9179,0.0419580419580419
"2412","Concordia College-New York",2,16985,8617,0.6078,0.3333,0.451628825271471
"2416","Cooper Union for the Advancement of Science and Art",2,2876,21635,0.8409,0.8462,-0.00630277084076581
"2417","Cornell University",2,25066,23818,0.9445,0.8755,0.073054526204341
"2421","Culinary Institute of America",2,22161,12857,0.7317,0.7027,0.0396337296706301
"2422","CUNY Bernard M Baruch College",1,6620,8733,0.6503,0.5686,0.125634322620329
"2425","CUNY Brooklyn College",1,4474,8934,0.5364,0.3962,0.261372110365399
"2426","College of Staten Island CUNY",1,3868,8302,0.3246,0.1898,0.415280345040049
"2427","CUNY City College",1,4649,13370,0.4465,0.4209,0.0573348264277716
"2430","CUNY Hunter College",1,5909,9116,0.4971,0.4739,0.0466706900020117
"2431","CUNY John Jay College of Criminal Justice",1,4113,8629,0.4324,0.3631,0.160268270120259
"2434","CUNY Lehman College",1,5599,9882,0.5079,0.3438,0.32309509746013
"2436","CUNY New York City College of Technology",1,2839,8532,0.1835,0.1278,0.303542234332425
"2437","CUNY Queens College",1,4826,8503,0.6447,0.49,0.239956568946797
"2440","CUNY York College",1,3421,8699,0.2987,0.2318,0.223970539002344
"2442","D'Youville College",2,17976,9847,0.4522,0.375,0.170720919946926
"2443","Daemen College",2,12993,8096,0.5154,0.5,0.0298797050834303
"2445","Dominican College of Blauvelt",2,17734,7330,0.4065,0.3537,0.129889298892989
"2446","Dowling College",2,18761,9176,0.4318,0.3051,0.293422880963409
"2450","Elmira College",2,14188,8318,0.604,0.3333,0.44817880794702
"2452","Fashion Institute of Technology",1,8079,11351,0.7611,0.719,0.0553146761266588
"2454","Five Towns College",3,12388,4667,0.3969,0.2632,0.336860670194004
"2455","Fordham University",2,26498,14019,0.8386,0.7393,0.118411638445027
"2462","Hamilton College",2,30824,30436,0.9256,0.8077,0.1273768366465
"2463","Hartwick College",2,20529,11244,0.5925,0.4545,0.232911392405063
"2466","Hilbert College",2,14015,5739,0.519,0.2727,0.474566473988439
"2467","Hobart William Smith Colleges",2,24777,13538,0.7672,0.8519,-0.110401459854015
"2468","Hofstra University",2,26052,16162,0.6403,0.4966,0.224426050288927
"2469","Houghton College",2,14302,10197,0.7711,0.5,0.35157567111918
"2474","Iona College",2,20138,8094,0.6097,0.5505,0.0970969329178285
"2477","Ithaca College",2,21592,12627,0.823,0.68,0.173754556500607
"2479","Jamestown Business College",3,12528,2837,0.4667,0.75,-0.607028069423613
"2482","The Juilliard School",2,16518,28982,0.8214,0.8,0.0260530801071341
"2485","Keuka College",2,14232,7665,0.4818,0.5714,-0.185969281859693
"2486","LIM College",3,25215,4380,0.5051,0.5106,-0.0108889328845774
"2487","Le Moyne College",2,15242,10173,0.7303,0.6667,0.0870874982883746
"2488","LIU Brooklyn",2,24979,11466,0.4866,0.2321,0.52301685162351
"2489","LIU Post",2,20971,10578,0.4296,0.2778,0.353351955307263
"2496","Manhattan College",2,21001,10328,0.7824,0.6814,0.129089979550102
"2497","Manhattan School of Music",2,30208,18431,0.6364,0.8,-0.257071024512885
"2498","Manhattanville College",2,15509,8104,0.5785,0.6506,-0.124632670700086
"2501","Marist College",2,21295,11426,0.8182,0.8028,0.0188218039599121
"2503","Marymount Manhattan College",2,21812,11003,0.4326,0.4267,0.0136384650947757
"2504","Medaille College",2,14271,6770,0.4806,0.3333,0.306491885143571
"2507","Mercy College",2,14998,4953,0.4663,0.2652,0.43126742440489
"2517","Molloy College",2,21375,13066,0.7491,0.58,0.225737551728741
"2518","Monroe College",3,11102,3561,0.4667,0.5197,-0.113563316905935
"2520","Mount Saint Mary College",2,16643,7611,0.5898,0.6522,-0.105798575788403
"2521","College of Mount Saint Vincent",2,17809,8693,0.5762,0.5313,0.077924331829226
"2524","Nazareth College",2,19706,11433,0.7769,0.6842,0.119320375852748
"2526","The College of New Rochelle",2,13397,5731,0.3846,0.3286,0.145605824232969
"2527","The New School",2,26315,13249,0.54,0.5904,-0.0933333333333333
"2535","New York University",2,32018,30237,0.8355,0.7809,0.0653500897666068
"2537","Niagara University",2,12912,7464,0.6753,0.4783,0.291722197541833
"2541","New York Institute of Technology",2,29171,14043,0.4754,0.4103,0.136937315944468
"2542","New York School of Interior Design",2,29583,19412,1,0.5,0.5
"2543","Nyack College",2,12877,7724,0.5783,0.3333,0.423655542106173
"2548","Pace University-New York",2,20304,10470,0.5425,0.5451,-0.00479262672811068
"2549","Paul Smiths College of Arts and Science",2,12339,7229,0.4824,0.25,0.481757877280265
"2551","Plaza College",3,717,4103,0.2917,0.7742,-1.65409667466575
"2553","Pratt Institute-Main",2,29420,14711,0.6334,0.6111,0.0352068203347016
"2561","Rensselaer Polytechnic Institute",2,26741,19069,0.8327,0.8119,0.0249789840278612
"2563","Roberts Wesleyan College",2,15751,10621,0.6684,0.5,0.251944943147816
"2565","Rochester Institute of Technology",2,19868,17731,0.6535,0.4766,0.270696250956389
"2566","University of Rochester",2,21893,28983,0.858,0.6905,0.195221445221445
"2569","The Sage Colleges",2,12380,7845,0.6028,0.2857,0.526045122760451
"2571","St Bonaventure University",2,15218,8189,0.7091,0.6364,0.102524326611197
"2572","St Francis College",2,14332,7426,0.64,0.4458,0.3034375
"2574","St Lawrence University",2,22702,15966,0.8438,0.8462,-0.00284427589476174
"2575","The College of Saint Rose",2,15067,12055,0.6667,0.4483,0.327583620818959
"2576","St. Thomas Aquinas College",2,15850,7969,0.6151,0.4746,0.228418143391318
"2578","Sarah Lawrence College",2,25770,20449,0.7598,0.7826,-0.0300078968149512
"2581","Siena College",2,15930,10563,0.8224,0.7429,0.0966682879377432
"2582","Skidmore College",2,30389,19668,0.8698,0.9643,-0.108645665670269
"2583","Saint Joseph's College-New York",2,15725,8251,0.7229,0.5467,0.243740489694287
"2587","Saint John Fisher College",2,18573,9198,0.7253,0.7826,-0.0790017923617814
"2590","St John's University-New York",2,22125,11325,0.6568,0.5071,0.227923264311815
"2594","SUNY College of Technology at Alfred",1,3378,10105,0.5227,0.2826,0.459345704993304
"2595","SUNY College of Technology at Canton",1,3373,8175,0.3288,0.1864,0.4330900243309
"2596","SUNY College of Technology at Delhi",1,3855,9374,0.4194,0.3673,0.124225083452551
"2597","SUNY College of Agriculture and Technology at Cobleskill",1,4180,8430,0.3767,0.2727,0.276081762675869
"2598","Farmingdale State College",1,5571,9828,0.4866,0.3577,0.264899301274147
"2599","Morrisville State College",1,3426,10657,0.3009,0.2321,0.228647391159854
"2600","SUNY at Albany",1,6348,13815,0.6621,0.6316,0.0460655490107234
"2601","SUNY at Binghamton",1,7150,11395,0.8194,0.7778,0.0507688552599463
"2602","University at Buffalo",1,8627,15806,0.7171,0.6636,0.0746060521545112
"2603","Stony Brook University",1,7992,20564,0.6282,0.6207,0.0119388729703915
"2605","SUNY Polytechnic Institute",1,5536,9924,0.4366,0.3684,0.156207054512139
"2606","SUNY College at Brockport",1,5102,11647,0.6819,0.7,-0.0265434814488928
"2607","SUNY Buffalo State",1,4158,9777,0.4642,0.3913,0.157044377423524
"2608","SUNY College at Cortland",1,5533,9436,0.6933,0.5607,0.191259195153613
"2609","SUNY at Fredonia",1,5151,10948,0.6751,0.5676,0.159235668789809
"2610","SUNY College at Geneseo",1,5680,10471,0.8057,0.6769,0.159860990443093
"2611","State University of New York at New Paltz",1,6051,10550,0.7733,0.5779,0.252683305314884
"2612","SUNY Oneonta",1,4942,8942,0.7436,0.6184,0.168370091447015
"2613","SUNY College at Oswego",1,5178,10636,0.6529,0.506,0.224996170929698
"2614","SUNY College at Potsdam",1,4559,12437,0.5625,0.3846,0.316266666666667
"2615","SUNY at Purchase College",1,6336,10439,0.6765,0.6667,0.0144863266814487
"2617","SUNY College at Old Westbury",1,4182,9875,0.2836,0.3836,-0.352609308885754
"2618","SUNY College at Plattsburgh",1,5252,11263,0.6095,0.5902,0.031665299425759
"2620","SUNY Empire State College",1,4688,9046,0.2056,0.4444,-1.16147859922179
"2621","SUNY Maritime College",1,6399,11637,0.5096,0.2414,0.526295133437991
"2624","Syracuse University",2,22079,15192,0.8299,0.7534,0.0921797806964695
"2631","Touro College",2,12576,6892,0.4747,0.3238,0.31788497998736
"2632","Trocaire College",2,17042,8661,0.3673,0.4,-0.0890280424720937
"2636","Union College",2,27513,19835,0.8409,0.9,-0.0702818408847664
"2638","United Talmudical Seminary",2,14158,4434,0.4912,0.3333,0.321457654723127
"2639","United States Merchant Marine Academy",1,602,15985,0.7284,0.7273,0.00151015925315774
"2640","Utica College",2,14758,7365,0.5141,0.3958,0.23011087337094
"2642","Vassar College",2,25998,29919,0.9392,0.8293,0.117014480408859
"2643","Villa Maria College",2,16180,6612,0.5811,0.1429,0.754087076234727
"2644","School of Visual Arts",3,31892,15105,0.6487,0.5286,0.185139509788809
"2645","Wagner College",2,23434,10858,0.6692,0.4545,0.32083084279737
"2647","Wells College",2,12882,8376,0.6778,0.5,0.262319268220714
"2648","The College of Westchester",3,19998,6634,0.4528,0.4833,-0.0673586572438163
"2658","Yeshiva University",2,22288,33568,0.8549,0.6667,0.220142706749327
"2662","The Art Institute of Charlotte",3,15818,3744,0.3889,0.4545,-0.168680894831576
"2664","Appalachian State University",1,6100,7384,0.702,0.7089,-0.00982905982905985
"2666","Barton College",2,15311,7130,0.5,0.5556,-0.1112
"2668","Belmont Abbey College",2,10292,4841,0.3913,0.4667,-0.192691029900332
"2672","Brevard College",2,12523,7618,0.437,0.5,-0.1441647597254
"2675","Cabarrus College of Health Sciences",2,9053,7284,0.35,1,-1.85714285714286
"2677","Campbell University",2,12550,11643,0.5618,0.2727,0.514595941616233
"2681","Catawba College",2,18808,7510,0.5095,0.5,0.0186457311089302
"2686","Chowan University",2,11367,5071,0.3217,0.5,-0.554243083618278
"2691","Davidson College",2,20505,19228,0.9275,0.913,0.0156334231805929
"2692","Duke University",2,22556,50756,0.9574,0.963,-0.00584917484854809
"2694","East Carolina University",1,6806,11749,0.5886,0.5465,0.0715256540944615
"2696","Elizabeth City State University",1,2966,9039,0.3171,0.3333,-0.0510879848628193
"2697","Elon University",2,25949,15016,0.8149,0.8293,-0.0176708798625599
"2700","Fayetteville State University",1,3287,8035,0.3333,0.375,-0.125112511251125
"2702","Gardner-Webb University",2,9144,5645,0.6235,0.3077,0.506495589414595
"2704","Greensboro College",2,13604,6394,0.3856,0.2,0.481327800829875
"2705","Guilford College",2,12312,6881,0.62,0.75,-0.209677419354839
"2710","High Point University",2,23711,9376,0.6248,0.5789,0.0734635083226633
"2716","Lees-McRae College",2,9804,4627,0.3676,0.3333,0.0933079434167573
"2718","Lenoir-Rhyne University",2,12322,7378,0.5985,0.4615,0.22890559732665
"2722","Mars Hill University",2,9370,5625,0.412,0.4,0.0291262135922329
"2727","Meredith College",2,18662,10394,0.6287,0.6364,-0.0122474948306027
"2728","Methodist University",2,13927,7680,0.4226,0.1364,0.677236157122575
"2729","Miller-Motte College-Wilmington",3,12491,2161,0.2755,0.2857,-0.0370235934664246
"2734","Montreat College",2,9323,4666,0.3412,0.5714,-0.674677608440797
"2735","University of Mount Olive",2,8484,2935,0.4771,0.3077,0.355061831901069
"2738","North Carolina A & T State University",1,5359,8997,0.2727,0.4063,-0.48991565823249
"2739","University of North Carolina at Asheville",1,6444,8967,0.6586,0.5667,0.139538414819314
"2740","University of North Carolina at Chapel Hill",1,12502,25710,0.9171,0.8396,0.0845055064878421
"2741","University of North Carolina at Charlotte",1,7245,9126,0.5335,0.7179,-0.3456419868791
"2742","University of North Carolina at Greensboro",1,5658,8999,0.5484,0.4744,0.134938001458789
"2743","North Carolina Central University",1,5216,10349,0.3478,0.4444,-0.27774583093732
"2744","University of North Carolina School of the Arts",1,12770,22850,0.6327,0.5,0.209736051841315
"2745","North Carolina State University at Raleigh",1,8400,13745,0.7554,0.6667,0.117421233783426
"2746","North Carolina Wesleyan College",2,11484,5527,0.4909,0.1667,0.660419637400693
"2747","University of North Carolina Wilmington",1,7246,7955,0.7098,0.6842,0.0360664976049591
"2749","William Peace University",2,10837,4406,0.3269,0.5,-0.529519730804527
"2750","University of North Carolina at Pembroke",1,3982,7060,0.346,0.2258,0.347398843930636
"2751","Pfeiffer University",2,11159,6953,0.3609,0.5,-0.385425325574952
"2755","Queens University of Charlotte",2,14527,9844,0.6316,0.72,-0.139962001266624
"2763","Saint Augustine's University",2,7393,6308,1,0.3333,0.6667
"2764","Salem College",2,7258,7565,0.6824,0.1667,0.755715123094959
"2780","Wake Forest University",2,29439,26803,0.8896,0.84,0.0557553956834532
"2782","Warren Wilson College",2,14211,11700,0.5204,0.4286,0.176402767102229
"2788","Wingate University",2,11874,8993,0.543,0.6667,-0.22780847145488
"2791","Winston-Salem State University",1,4270,11194,0.2593,0.6667,-1.57115310451215
"2792","Western Carolina University",1,5595,7845,0.6014,0.4615,0.232623877618889
